name,price,image_url,product_url,gender,piece_type,subtype,fit,style,season,main_color,palette_tags
Nike Mens Dri-FIT Short Sleeve Polo Shirt,41.99,https://m.media-amazon.com/images/I/51OYS0EJwSL._AC_SX679_.jpg,https://amzn.to/41lHacl,male,top,polo shirt,regular,casual,summer,#000000,"['cool', 'dark']"
Nike Men's Bohemian,35.0,https://m.media-amazon.com/images/I/41nFOLI0XHL._AC_SX679_.jpg,https://amzn.to/41gyuE4,male,top,t-shirt,regular,sports,summer,#FFFFFF,"['light', 'cool']"
Nike Men's Training T-Shirt,28.99,https://m.media-amazon.com/images/I/51OaMjKlCpL._AC_SX679_.jpg,https://amzn.to/465gGhJ,male,top,t-shirt,regular,casual,summer,#5B2C8A,"['cool', 'dark']"
Nike Men's Dry Franchise Polo,32.99,https://m.media-amazon.com/images/I/51-nBYkQs3S._AC_SY879_.jpg,https://amzn.to/3UJjRoX,male,top,polo shirt,regular,casual,summer,#7BAFE8,"['cool', 'light']"
Sailwind Mens Henley Long/Short Sleeve T-Shirt Cotton Casual Shirt,19.99,https://m.media-amazon.com/images/I/81FvuZ7mo2L._AC_SY879_.jpg,https://amzn.to/45Arogg,male,top,henley t-shirt,regular,casual,summer,#5a5a5a,"['cool', 'dark']"
NITAGUT Mens Fashion Casual Front Placket Basic Long/Short Sleeve Henley T-Shirts,14.99,https://m.media-amazon.com/images/I/81HsZOdpbJL._AC_SX679_.jpg,https://amzn.to/4n42Emt,male,top,henley t-shirt,regular,casual,summer,#4a6157,"['cool', 'dark']"
KLIEGOU Men's T-Shirts - Premium Cotton Crew Neck Tees S - 4XL,24.99,https://m.media-amazon.com/images/I/81JY6XT8pGL._AC_SX679_.jpg,https://amzn.to/47coWOa,male,top,t-shirt,regular,casual,summer,#9B947F,"['warm', 'dark']"
Sailwind Mens Henley Shirts Short Sleeve Summer Casual Classic Cotton T Shirts Pocket Button Shirt,19.99,https://m.media-amazon.com/images/I/71w3ausb-GL._AC_SY879_.jpg,https://amzn.to/3JsNpVv,male,top,polo shirt,slim,casual,summer,#4a6a8c,"['cool', 'dark']"
Mens T-Shirts Short Sleeve Button Casual Stylish Basic Tees Work Striped Shirts Henley Summer Lightweight Stretch Top,19.99,https://m.media-amazon.com/images/I/61wWhxo-+4L._AC_SY879_.jpg,https://amzn.to/475Fnf4,male,top,polo shirt,slim,casual,summer,#000000,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirt,19.99,https://m.media-amazon.com/images/I/61oDNRuL4GL._AC_SX679_.jpg,https://amzn.to/4mwRjeM,male,top,henley t-shirt,regular,casual,summer,#1a1a1a,"['dark', 'cool']"
LOGEEYAR Men's Athletic Washed T-Shirts Basic Crew Neck Tees Tops Causal Distressed Cotton T Shirts for Men,23.98,https://m.media-amazon.com/images/I/61gkidVaPuL._AC_SX679_.jpg,https://amzn.to/3HJGbfk,male,top,t-shirt,slim,casual,summer,#d9c33a,"['warm', 'light']"
MAGCOMSEN Men's Henley Short Sleeve Shirt Cotton Lightweight 3 Button Tops Vintage Casual Summer Shirt Soft Fashion,24.98,https://m.media-amazon.com/images/I/81tuxIGgCTL._AC_SY879_.jpg,https://amzn.to/3HK0lWz,male,top,henley shirt,regular,casual,summer,#D9D9D9,"['cool', 'light']"
Mens Short Sleeve Shirts Casual Cotton Henley Shirts Slim Fit Summer Classic T-Shirts,24.99,https://m.media-amazon.com/images/I/61GjdoE+78L._AC_SX679_.jpg,https://amzn.to/4lEnUOf,male,top,henley t-shirt,slim,casual,summer,#000000,"['cool', 'dark']"
Wrangler Authentics Men's Short Sleeve Henley Tee,22.58,https://m.media-amazon.com/images/I/71BOOE2kbPL._AC_SY879_.jpg,https://amzn.to/3JN9YUR,male,top,henley t-shirt,regular,casual,summer,#4a6a8c,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirts,14.99,https://m.media-amazon.com/images/I/81tpGc13OgL._AC_SX679_.jpg,https://amzn.to/4n10mEt,male,top,henley t-shirt,regular,casual,summer,#5a7184,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirts,22.99,https://m.media-amazon.com/images/I/71+DPskCBOL._AC_SX679_.jpg,https://amzn.to/4mXzG7A,male,top,henley t-shirt,regular,casual,summer,#7B2B3A,"['warm', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirt,19.99,https://m.media-amazon.com/images/I/81NE5pIWIiL._AC_SX679_.jpg,https://amzn.to/4mQffcw,male,top,henley t-shirt,regular,casual,summer,#555555,"['cool', 'dark']"
